enh_id,srtwbtp_id,kwasp_id,eenheid_alias,enh_alias_id,code
enh:27,1,kwasp:3,mg/kg ds,enh_alias:1,E_96
enh:28,1,kwasp:3,µg/kg ds,enh_alias:2,E_97
enh:28,2,kwasp:3,µg/kg ng,enh_alias:3,E_98
enh:29,2,kwasp:3,g/g ng,enh_alias:4,E_99
enh:1,,kwasp:32,mgC/L,enh_alias:5,E_100
enh:4,,kwasp:32,µgC/L,enh_alias:6,E_101
enh:1,,kwasp:34,mgO2/L,enh_alias:7,E_102
enh:1,,kwasp:35,mgN/L,enh_alias:8,E_103
enh:4,,kwasp:35,µgN/L,enh_alias:9,E_104
enh:11,,kwasp:36,kgN/d,enh_alias:10,E_105
enh:10,,kwasp:36,gN/d,enh_alias:11,E_106
enh:14,,kwasp:36,mgN/d,enh_alias:12,E_107
enh:15,,kwasp:36,tN/jr,enh_alias:13,E_108
enh:12,,kwasp:36,kgN/jr,enh_alias:14,E_109
enh:13,,kwasp:36,kgN/u,enh_alias:15,E_110
enh:37,,kwasp:37,mgN,enh_alias:16,E_111
enh:36,,kwasp:37,gN,enh_alias:17,E_112
enh:38,,kwasp:37,kgN,enh_alias:18,E_113
enh:36,,kwasp:38,gO2,enh_alias:19,E_114
enh:38,,kwasp:38,kgO2,enh_alias:20,E_115
enh:10,,kwasp:39,gO2/d,enh_alias:21,E_116
enh:12,,kwasp:39,kgO2/jr,enh_alias:22,E_117
enh:11,,kwasp:39,kgO2/d,enh_alias:23,E_118
enh:36,,kwasp:40,gC,enh_alias:24,E_119
enh:38,,kwasp:40,kgC,enh_alias:25,E_120
enh:11,,kwasp:41,kgC/d,enh_alias:26,E_121
enh:10,,kwasp:41,gC/d,enh_alias:27,E_122
enh:27,1,kwasp:42,mgC/kg ds,enh_alias:28,E_123
enh:26,1,kwasp:42,gC/kg ds,enh_alias:29,E_124
enh:27,1,kwasp:43,mgN/kg ds,enh_alias:30,E_125
enh:1,,kwasp:44,mgNH4/L,enh_alias:31,E_126
enh:27,1,kwasp:45,mgCl/kg ds,enh_alias:32,E_127
enh:1,,kwasp:46,mgCl/L,enh_alias:33,E_128
enh:4,,kwasp:46,µgCl/L,enh_alias:34,E_129
enh:27,1,kwasp:47,mgP/kg ds,enh_alias:35,E_130
enh:1,,kwasp:48,mgP/L,enh_alias:36,E_131
enh:4,,kwasp:48,µgP/L,enh_alias:37,E_132
enh:28,1,kwasp:49,µgSn/kg ds,enh_alias:38,E_133
enh:27,1,kwasp:49,mgSn/kg ds,enh_alias:39,E_134
enh:2,,kwasp:50,ngSn/L,enh_alias:40,E_135
enh:4,,kwasp:50,µgSn/L,enh_alias:41,E_136
enh:1,,kwasp:51,mgS/L,enh_alias:42,E_137
enh:4,,kwasp:51,µgS/L,enh_alias:43,E_138
enh:1,,kwasp:52,mgCaCO3/L,enh_alias:44,E_139
enh:1,,kwasp:53,mgSiO2/L,enh_alias:45,E_140
enh:10,,kwasp:54,gP/d,enh_alias:46,E_141
enh:11,,kwasp:54,kgP/d,enh_alias:47,E_142
enh:15,,kwasp:54,tP/jr,enh_alias:48,E_143
enh:13,,kwasp:54,kgP/u,enh_alias:49,E_144
enh:12,,kwasp:54,kgP/jr,enh_alias:50,E_145
enh:14,,kwasp:55,mgCl/d,enh_alias:51,E_146
enh:10,,kwasp:55,gCl/d,enh_alias:52,E_147
enh:11,,kwasp:55,kgCl/d,enh_alias:53,E_148
enh:38,,kwasp:56,kgCl,enh_alias:54,E_149
enh:37,,kwasp:56,mgCl,enh_alias:55,E_150
enh:38,,kwasp:57,kgP,enh_alias:56,E_151
enh:36,,kwasp:57,gP,enh_alias:57,E_152
enh:39,,kwasp:58,µgSn,enh_alias:58,E_153
enh:68,,kwasp:59,17b estradiol eq/L,enh_alias:59,E_154
enh:68,,kwasp:60,dexamethasone eq/L,enh_alias:60,E_155
enh:68,,kwasp:61,actinomycin D eq/L,enh_alias:61,E_156
enh:68,,kwasp:62,benzo(a)pyrene eq/L,enh_alias:62,E_157
enh:68,,kwasp:63,nicardipine eq/L,enh_alias:63,E_158
enh:80,1,kwasp:64,ngTEQ/kg ds,enh_alias:64,E_159
enh:81,2,kwasp:65,µgWHO-TEQ2005/kg ng,enh_alias:65,E_160
enh:82,2,kwasp:65,pg WHO-TEQ2005/g ng,enh_alias:66,E_161
enh:43,,kwasp:66,%effect,enh_alias:67,E_162
enh:43,,kwasp:67,%mort,enh_alias:68,E_163
enh:86,,kwasp:68,mgTEQ/jr,enh_alias:69,E_164
enh:4,,kwasp:69,µgC9PEO/L,enh_alias:70,E_165
enh:4,,kwasp:70,µgC13EO/L,enh_alias:71,E_166
enh:69,,kwasp:71,µg TBySn ac. eq./L,enh_alias:72,E_167
enh:16,,kwasp:72,µgSn/d,enh_alias:73,E_168
enh:36,,kwasp:56,gCl,enh_alias:74,E_169
enh:13,,kwasp:39,kgO2/u,enh_alias:75,E_170
enh:14,,kwasp:54,mgP/d,enh_alias:76,E_171
enh:8,,kwasp:73,mg/Nm³,enh_alias:77,E_172
enh:85,,kwasp:74,pgTEQ/Nm³,enh_alias:78,E_173
enh:87,,kwasp:68,gTEQ/jr,enh_alias:79,E_174
enh:46,,kwasp:75,Nm³/u,enh_alias:80,E_175
enh:88,,kwasp:68,µgTEQ/u,enh_alias:81,E_176
enh:92,,kwasp:76,MWth,enh_alias:82,E_177
enh:1,,kwasp:77,mgF/L,enh_alias:83,E_178
enh:4,,kwasp:77,µgF/L,enh_alias:84,E_179
enh:37,,kwasp:78,mgF,enh_alias:85,E_180
enh:11,,kwasp:79,kgF/d,enh_alias:86,E_181
enh:14,,kwasp:79,mgF/d,enh_alias:87,E_182
enh:38,,kwasp:78,kgF,enh_alias:88,E_183
enh:36,,kwasp:78,gF,enh_alias:89,E_184
enh:10,,kwasp:79,gF/d,enh_alias:90,E_185
enh:97,,kwasp:81,ng 17b estrad eq/L,enh_alias:91,E_188
enh:97,,kwasp:82,ng PFOA eq/L,enh_alias:92,E_189
enh:80,1,kwasp:83,ng PFOA eq/kg ds,enh_alias:93,E_190
enh:80,1,kwasp:84,ng TCDD eq/kg ds,enh_alias:94,E_191
